id,role,type,description,size/ratio,style line ref,source
prism_move_ne,character_animation,spritesheet,Prism Adept northeast movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
prism_move_e,character_animation,spritesheet,Prism Adept east movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
prism_move_se,character_animation,spritesheet,Prism Adept southeast movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
prism_move_s,character_animation,spritesheet,Prism Adept south movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
prism_move_sw,character_animation,spritesheet,Prism Adept southwest movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab mirror
prism_move_w,character_animation,spritesheet,Prism Adept west movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab mirror
prism_move_nw,character_animation,spritesheet,Prism Adept northwest movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab mirror
marshal_move_n,character_animation,spritesheet,Eclipse Marshal north movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
marshal_move_ne,character_animation,spritesheet,Eclipse Marshal northeast movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
marshal_move_e,character_animation,spritesheet,Eclipse Marshal east movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
marshal_move_se,character_animation,spritesheet,Eclipse Marshal southeast movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
marshal_move_s,character_animation,spritesheet,Eclipse Marshal south movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
marshal_move_sw,character_animation,spritesheet,Eclipse Marshal southwest movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab mirror
marshal_move_w,character_animation,spritesheet,Eclipse Marshal west movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab mirror
marshal_move_nw,character_animation,spritesheet,Eclipse Marshal northwest movement eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab mirror
icon_solar_lance,skill_icon,image,Gold-cyan forward lance icon,64x64 transparent,STYLE_FORMULA.txt,PixelLab
fx_solar_lance,skill_effect,spritesheet,Gold-cyan lance launch impact eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
icon_bloom_guard,skill_icon,image,Leaf-green shield bloom icon,64x64 transparent,STYLE_FORMULA.txt,PixelLab
fx_bloom_guard,skill_effect,spritesheet,Leaf-green shield bloom eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
icon_gale_step,skill_icon,image,Sky-cyan wind step icon,64x64 transparent,STYLE_FORMULA.txt,PixelLab
fx_gale_step,skill_effect,spritesheet,Sky-cyan dash trail eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
icon_prism_snare,skill_icon,image,Violet-cyan geometric snare icon,64x64 transparent,STYLE_FORMULA.txt,PixelLab
fx_prism_snare,skill_effect,spritesheet,Violet-cyan lattice close eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
icon_meteor_arc,skill_icon,image,Coral-gold falling arc icon,64x64 transparent,STYLE_FORMULA.txt,PixelLab
fx_meteor_arc,skill_effect,spritesheet,Coral-gold falling arc burst eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
icon_radiant_mend,skill_icon,image,Green-gold repair star icon,64x64 transparent,STYLE_FORMULA.txt,PixelLab
fx_radiant_mend,skill_effect,spritesheet,Green-gold healing spiral eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
icon_echo_bolt,skill_icon,image,Cyan-violet ricochet bolt icon,64x64 transparent,STYLE_FORMULA.txt,PixelLab
fx_echo_bolt,skill_effect,spritesheet,Cyan-violet ricochet bolt eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
icon_comet_break,skill_icon,image,White-gold comet breaker icon,64x64 transparent,STYLE_FORMULA.txt,PixelLab
fx_comet_break,skill_effect,spritesheet,White-gold finishing comet impact eight sequential frames,512x64,STYLE_FORMULA.txt,PixelLab
